Reconstructed monthly NAO index back to Dec 1658.

References:
========

Luterbacher, J., Xoplaki, E., Dietrich, D., Jones, P.D., Davies, T.D.,
Portis, D., Gonzalez-Rouco, J.F., von Storch, H., Gyalistras, D., Casty,
C., and Wanner, H., 2002. Extending North Atlantic Oscillation
Reconstructions Back to 1500. Atmos. Sci. Lett., 2, 114-124 
(doi:10.1006/asle.2001.0044).

Luterbacher, J., C. Schmutz, D. Gyalistras, E. Xoplaki, and H. Wanner, 1999: Reconstruction of monthly NAO and EU indices back to AD 1675,
Geophys. Res. Lett., 26, 2745-2748.


Contact Juerg Luterbacher (juerg@giub.unibe.ch) for further information, other reconstructed atmospheric circulation indices and reprints.


Reconstructed monthly NAO index back to December 1658
========================================================= 

Note, the monthly values from December 1658 to November 1900 are our
reconstructions, the data from December 1900 to July 2001 
are derived from Trenberth and Paolino (1980, updated, data are available through: http://dss.ucar.edu/datasets/ds010.1/data/)

Year	Mon	NAO
1754	Aug	-0.36
1754	Sep	-1.35
1754	Oct	0.07
1754	Nov	-0.38
1754	Dec	1.30
1755	Jan	-0.76
1755	Feb	-1.93
1755	Mar	-0.76
1755	Apr	2.05
1755	May	-0.44
1755	Jun	0.71
1755	Jul	0.66
1755	Aug	-0.01
1755	Sep	-0.40
1755	Oct	0.30
1755	Nov	1.13
1755	Dec	-0.55
1756	Jan	1.32
1756	Feb	1.12
1756	Mar	0.96
1756	Apr	-0.31
1756	May	-1.75
1756	Jun	0.35
1756	Jul	-0.76
1756	Aug	-1.40
1756	Sep	-0.69
1756	Oct	-0.20
1756	Nov	-1.97
1756	Dec	-1.53
1757	Jan	-2.27
1757	Feb	0.25
1757	Mar	0.53
1757	Apr	1.26
1757	May	-0.32
1757	Jun	0.18
1757	Jul	0.47
1757	Aug	-0.77
1757	Sep	-0.83
1757	Oct	-2.49
1757	Nov	0.53
1757	Dec	-1.84
1758	Jan	-1.94
1758	Feb	-0.16
1758	Mar	-0.06
1758	Apr	-1.39
1758	May	0.28
1758	Jun	-0.10
1758	Jul	-0.48
1758	Aug	-1.22
1758	Sep	-1.57
1758	Oct	-1.67
1758	Nov	-0.55
1758	Dec	-0.54
1759	Jan	1.71
1759	Feb	1.20
1759	Mar	1.04
1759	Apr	0.21
1759	May	-0.83
1759	Jun	0.18
1759	Jul	0.08
1759	Aug	-0.65
1759	Sep	-0.63
1759	Oct	0.12
1759	Nov	-0.96
1759	Dec	-2.58
1760	Jan	-3.11
1760	Feb	0.27
1760	Mar	0.23
1760	Apr	-0.32
1760	May	0.61
1760	Jun	0.28
1760	Jul	0.46
1760	Aug	0.75
1760	Sep	1.21
1760	Oct	-0.22
1760	Nov	-0.44
1760	Dec	-0.29
1761	Jan	-0.69
1761	Feb	1.71
1761	Mar	0.67
1761	Apr	0.49
1761	May	1.00
1761	Jun	0.43
1761	Jul	1.42
1761	Aug	-0.71
1761	Sep	1.59
1761	Oct	-2.02
1761	Nov	0.13
1761	Dec	-1.94
1762	Jan	1.24
1762	Feb	1.09
1762	Mar	-1.24
1762	Apr	0.62
1762	May	0.27
1762	Jun	-0.20
1762	Jul	0.25
1762	Aug	-0.26
1762	Sep	-0.76
1762	Oct	-2.24
1762	Nov	0.18
1762	Dec	-0.60
1763	Jan	-1.68
1763	Feb	1.65
1763	Mar	-0.34
1763	Apr	-0.67
1763	May	-0.36
1763	Jun	-0.35
1763	Jul	1.45
1763	Aug	0.87
1763	Sep	-1.43
1763	Oct	-0.51
1763	Nov	-0.50
1763	Dec	-0.10
1764	Jan	1.30
1764	Feb	0.89
1764	Mar	-0.67
1764	Apr	0.52
1764	May	0.97
1764	Jun	0.55
1764	Jul	0.67
1764	Aug	0.14
1764	Sep	0.02
1764	Oct	-0.51
1764	Nov	-1.21
1764	Dec	-0.91
1765	Jan	1.40
1765	Feb	0.39
1765	Mar	1.71
1765	Apr	1.16
1765	May	-1.14
1765	Jun	0.15
1765	Jul	-0.47
1765	Aug	0.17
1765	Sep	-1.24
1765	Oct	1.05
1765	Nov	0.72
1765	Dec	-1.95
1766	Jan	-2.66
1766	Feb	-0.54
1766	Mar	0.47
1766	Apr	0.72
1766	May	0.07
1766	Jun	1.08
1766	Jul	0.79
1766	Aug	1.01
1766	Sep	0.10
1766	Oct	-0.41
1766	Nov	1.08
1766	Dec	-1.62
1767	Jan	-2.88
1767	Feb	1.39
1767	Mar	0.19
1767	Apr	-1.83
1767	May	0.22
1767	Jun	0.04
1767	Jul	0.23
1767	Aug	-0.06
1767	Sep	1.13
1767	Oct	0.36
1767	Nov	1.09
1767	Dec	-1.36
1768	Jan	-1.58
1768	Feb	1.14
1768	Mar	-1.66
1768	Apr	0.80
1768	May	-0.61
1768	Jun	-1.60
1768	Jul	-0.70
1768	Aug	0.24
1768	Sep	-0.70
1768	Oct	-0.69
1768	Nov	1.20
1768	Dec	0.67
1769	Jan	-0.33
1769	Feb	0.07
1769	Mar	-0.31
1769	Apr	-0.56
1769	May	-0.16
1769	Jun	1.59
1769	Jul	0.54
1769	Aug	1.34
1769	Sep	0.05
1769	Oct	-3.49
1769	Nov	-1.08
1769	Dec	-0.07
1770	Jan	-0.16
1770	Feb	1.22
1770	Mar	-2.42
1770	Apr	-0.86
1770	May	-1.49
1770	Jun	2.14
1770	Jul	-0.34
1770	Aug	0.93
1770	Sep	1.54
1770	Oct	2.47
1770	Nov	-0.50
1770	Dec	1.10
1771	Jan	-0.68
1771	Feb	-0.95
1771	Mar	-3.03
1771	Apr	-2.35
1771	May	-0.11
1771	Jun	-1.12
1771	Jul	1.14
1771	Aug	1.03
1771	Sep	-0.54
1771	Oct	1.13
1771	Nov	-0.77
1771	Dec	1.27
1772	Jan	-1.75
1772	Feb	-2.22
1772	Mar	-1.88
1772	Apr	-0.82
1772	May	-2.69
1772	Jun	-0.01
1772	Jul	0.60
1772	Aug	1.33
1772	Sep	1.13
1772	Oct	3.29
1772	Nov	3.75
1772	Dec	0.29
1773	Jan	0.15
1773	Feb	-0.15
1773	Mar	-0.27
1773	Apr	1.08
1773	May	-0.15
1773	Jun	-0.09
1773	Jul	-0.34
1773	Aug	0.57
1773	Sep	3.20
1773	Oct	1.90
1773	Nov	1.38
1773	Dec	-0.69
1774	Jan	-1.98
1774	Feb	1.03
1774	Mar	-1.15
1774	Apr	-0.25
1774	May	-0.25
1774	Jun	2.65
1774	Jul	2.15
1774	Aug	0.30
1774	Sep	0.34
1774	Oct	-1.43
1774	Nov	-4.19
1774	Dec	-1.76
1775	Jan	0.43
1775	Feb	1.87
1775	Mar	1.69
1775	Apr	-0.46
1775	May	0.37
1775	Jun	1.31
1775	Jul	2.08
1775	Aug	3.59
1775	Sep	3.15
1775	Oct	1.78
1775	Nov	-1.37
1775	Dec	0.79
1776	Jan	-2.89
1776	Feb	3.05
1776	Mar	0.07
1776	Apr	-0.46
1776	May	-1.14
1776	Jun	2.60
1776	Jul	2.26
1776	Aug	1.75
1776	Sep	0.84
1776	Oct	0.19
1776	Nov	0.38
1776	Dec	0.08
1777	Jan	-0.77
1777	Feb	-0.46
1777	Mar	-0.12
1777	Apr	-1.17
1777	May	2.52
1777	Jun	1.06
1777	Jul	-0.74
1777	Aug	1.40
1777	Sep	-0.70
1777	Oct	0.34
1777	Nov	0.52
1777	Dec	-1.08
1778	Jan	-0.86
1778	Feb	0.08
1778	Mar	-0.17
1778	Apr	0.28
1778	May	1.86
1778	Jun	0.69
1778	Jul	1.32
1778	Aug	0.68
1778	Sep	-0.77
1778	Oct	-1.27
1778	Nov	0.68
1778	Dec	1.03
1779	Jan	-0.72
1779	Feb	2.19
1779	Mar	1.25
1779	Apr	2.05
1779	May	1.70
1779	Jun	-1.84
1779	Jul	-1.62
1779	Aug	0.36
1779	Sep	1.53
1779	Oct	1.12
1779	Nov	0.10
1779	Dec	-1.20
1780	Jan	-2.41
1780	Feb	0.15
1780	Mar	2.96
1780	Apr	-1.05
1780	May	1.28
1780	Jun	1.40
1780	Jul	2.23
1780	Aug	-1.78
1780	Sep	0.34
1780	Oct	-0.57
1780	Nov	-1.53
1780	Dec	-2.24
1781	Jan	-1.24
1781	Feb	0.71
1781	Mar	0.20
1781	Apr	0.07
1781	May	-1.41
1781	Jun	1.06
1781	Jul	2.30
1781	Aug	3.63
1781	Sep	0.58
1781	Oct	-1.37
1781	Nov	0.74
1781	Dec	-0.76
1782	Jan	1.56
1782	Feb	-0.80
1782	Mar	-0.25
1782	Apr	-1.64
1782	May	0.28
1782	Jun	1.51
1782	Jul	0.11
1782	Aug	-0.46
1782	Sep	0.46
1782	Oct	-1.34
1782	Nov	-1.82
1782	Dec	-1.24
1783	Jan	-0.38
1783	Feb	0.70
1783	Mar	-0.93
1783	Apr	0.91
1783	May	0.07
1783	Jun	1.93
1783	Jul	2.15
1783	Aug	1.35
1783	Sep	2.18
1783	Oct	0.75
1783	Nov	-1.14
1783	Dec	-0.86
1784	Jan	-0.88
1784	Feb	0.25
1784	Mar	-2.70
1784	Apr	-1.12
1784	May	0.81
1784	Jun	1.07
1784	Jul	1.72
1784	Aug	0.14
1784	Sep	-1.27
1784	Oct	-1.84
1784	Nov	0.96
1784	Dec	-2.52
1785	Jan	0.26
1785	Feb	-1.50
1785	Mar	-2.52
1785	Apr	-0.22
1785	May	-0.59
1785	Jun	-1.39
1785	Jul	1.26
1785	Aug	0.34
1785	Sep	-0.24
1785	Oct	-0.29
1785	Nov	0.54
1785	Dec	-2.35
1786	Jan	0.30
1786	Feb	-0.43
1786	Mar	-2.64
1786	Apr	-1.53
1786	May	-0.19
1786	Jun	-1.22
1786	Jul	0.55
1786	Aug	0.81
1786	Sep	1.61
1786	Oct	-1.02
1786	Nov	-3.60
1786	Dec	0.04
1787	Jan	-1.59
1787	Feb	1.33
1787	Mar	1.67
1787	Apr	-0.20
1787	May	1.32
1787	Jun	1.13
1787	Jul	1.43
1787	Aug	1.20
1787	Sep	-0.60
1787	Oct	1.26
1787	Nov	-1.09
1787	Dec	-1.54
1788	Jan	-1.18
1788	Feb	-0.96
1788	Mar	-3.05
1788	Apr	0.89
1788	May	-0.03
1788	Jun	-0.92
1788	Jul	2.26
1788	Aug	0.45
1788	Sep	1.07
1788	Oct	-2.18
1788	Nov	-0.27
1788	Dec	-3.83
1789	Jan	-0.68
1789	Feb	1.84
1789	Mar	-4.17
1789	Apr	-1.06
1789	May	0.24
1789	Jun	1.67
1789	Jul	2.56
1789	Aug	0.54
1789	Sep	1.39
1789	Oct	2.10
1789	Nov	0.03
1789	Dec	2.59
1790	Jan	0.10
1790	Feb	1.37
1790	Mar	0.48
1790	Apr	-2.57
1790	May	-0.20
1790	Jun	2.22
1790	Jul	1.72
1790	Aug	1.95
1790	Sep	0.01
1790	Oct	-0.35
1790	Nov	0.09
1790	Dec	0.63
1791	Jan	2.82
1791	Feb	0.79
1791	Mar	1.50
1791	Apr	0.88
1791	May	-0.19
1791	Jun	1.24
1791	Jul	2.17
1791	Aug	1.47
1791	Sep	-1.63
1791	Oct	0.32
1791	Nov	1.10
1791	Dec	-0.40
1792	Jan	-1.15
1792	Feb	-0.26
1792	Mar	-0.05
1792	Apr	2.11
1792	May	0.58
1792	Jun	0.50
1792	Jul	1.96
1792	Aug	-0.17
1792	Sep	1.71
1792	Oct	-0.64
1792	Nov	0.56
1792	Dec	0.89
1793	Jan	-0.29
1793	Feb	1.21
1793	Mar	-0.17
1793	Apr	-1.32
1793	May	-0.70
1793	Jun	2.03
1793	Jul	1.40
1793	Aug	2.74
1793	Sep	-0.49
1793	Oct	1.23
1793	Nov	-0.77
1793	Dec	-1.16
1794	Jan	-0.34
1794	Feb	0.80
1794	Mar	1.72
1794	Apr	1.43
1794	May	1.01
1794	Jun	0.83
1794	Jul	1.84
1794	Aug	1.15
1794	Sep	0.47
1794	Oct	2.07
1794	Nov	-0.32
1794	Dec	-0.19
1795	Jan	-1.95
1795	Feb	-0.37
1795	Mar	-1.70
1795	Apr	-0.02
1795	May	-1.23
1795	Jun	-0.43
1795	Jul	-0.13
1795	Aug	0.28
1795	Sep	-0.24
1795	Oct	1.24
1795	Nov	0.17
1795	Dec	-0.33
1796	Jan	3.11
1796	Feb	-0.28
1796	Mar	-1.44
1796	Apr	-0.24
1796	May	0.57
1796	Jun	3.58
1796	Jul	2.73
1796	Aug	0.86
1796	Sep	-0.34
1796	Oct	0.78
1796	Nov	-0.44
1796	Dec	-1.92
1797	Jan	-0.21
1797	Feb	0.88
1797	Mar	0.01
1797	Apr	-0.94
1797	May	0.71
1797	Jun	1.02
1797	Jul	2.16
1797	Aug	2.78
1797	Sep	2.55
1797	Oct	0.57
1797	Nov	-0.17
1797	Dec	1.57
1798	Jan	-0.24
1798	Feb	0.21
1798	Mar	-0.45
1798	Apr	1.23
1798	May	1.52
1798	Jun	1.88
1798	Jul	3.62
1798	Aug	2.58
1798	Sep	1.10
1798	Oct	1.64
1798	Nov	1.40
1798	Dec	-1.14
1799	Jan	1.28
1799	Feb	-0.30
1799	Mar	-2.63
1799	Apr	-0.98
1799	May	-0.84
1799	Jun	0.58
1799	Jul	1.40
1799	Aug	2.63
1799	Sep	0.46
1799	Oct	-0.15
1799	Nov	1.67
1799	Dec	-2.79
1800	Jan	0.07
1800	Feb	-1.08
1800	Mar	-2.20
1800	Apr	1.20
1800	May	-0.29
1800	Jun	-0.58
1800	Jul	-0.48
1800	Aug	-0.72
1800	Sep	-0.38
1800	Oct	1.14
1800	Nov	1.08
1800	Dec	0.07
1801	Jan	0.18
1801	Feb	0.11
1801	Mar	2.05
1801	Apr	-0.46
1801	May	1.46
1801	Jun	0.71
1801	Jul	0.78
1801	Aug	-1.91
1801	Sep	-1.01
1801	Oct	0.47
1801	Nov	1.28
1801	Dec	-0.78
1802	Jan	-1.22
1802	Feb	1.02
1802	Mar	1.34
1802	Apr	1.16
1802	May	-1.88
1802	Jun	1.14
1802	Jul	2.19
1802	Aug	2.38
1802	Sep	-1.06
1802	Oct	1.33
1802	Nov	-1.19
1802	Dec	-0.59
1803	Jan	-2.42
1803	Feb	0.43
1803	Mar	-0.58
1803	Apr	1.70
1803	May	1.02
1803	Jun	0.41
1803	Jul	0.04
1803	Aug	2.23
1803	Sep	-0.83
1803	Oct	-1.44
1803	Nov	-0.46
1803	Dec	-1.13
1804	Jan	0.51
1804	Feb	-0.65
1804	Mar	-1.64
1804	Apr	-1.35
1804	May	1.75
1804	Jun	1.53
1804	Jul	0.45
1804	Aug	1.68
1804	Sep	0.55
1804	Oct	1.79
1804	Nov	-1.38
1804	Dec	-2.92
1805	Jan	-0.87
1805	Feb	0.29
1805	Mar	-0.20
1805	Apr	-0.78
1805	May	-1.80
1805	Jun	-0.80
1805	Jul	0.31
1805	Aug	0.20
1805	Sep	0.12
1805	Oct	-2.51
1805	Nov	-0.96
1805	Dec	0.14
1806	Jan	1.48
1806	Feb	-0.09
1806	Mar	-1.06
1806	Apr	-3.11
1806	May	-1.66
1806	Jun	-0.48
1806	Jul	-0.52
1806	Aug	2.50
1806	Sep	0.76
1806	Oct	-0.45
1806	Nov	0.17
1806	Dec	2.32
1807	Jan	-0.27
1807	Feb	0.29
1807	Mar	-1.76
1807	Apr	-1.61
1807	May	-0.44
1807	Jun	-0.17
1807	Jul	1.58
1807	Aug	4.34
1807	Sep	0.14
1807	Oct	-1.25
1807	Nov	0.52
1807	Dec	-0.35
1808	Jan	-0.11
1808	Feb	-1.20
1808	Mar	-2.42
1808	Apr	-1.56
1808	May	0.91
1808	Jun	0.86
1808	Jul	-0.03
1808	Aug	1.99
1808	Sep	0.40
1808	Oct	1.97
1808	Nov	-0.05
1808	Dec	-1.39
1809	Jan	-1.57
1809	Feb	0.63
1809	Mar	-1.43
1809	Apr	-2.06
1809	May	0.56
1809	Jun	1.44
1809	Jul	-0.84
1809	Aug	4.06
1809	Sep	1.11
1809	Oct	-1.54
1809	Nov	-1.95
1809	Dec	1.74
1810	Jan	-0.83
1810	Feb	0.58
1810	Mar	-1.34
1810	Apr	-1.99
1810	May	-3.52
1810	Jun	-0.87
1810	Jul	2.15
1810	Aug	2.17
1810	Sep	-0.11
1810	Oct	-1.08
1810	Nov	-0.87
1810	Dec	0.28
1811	Jan	-0.24
1811	Feb	0.91
1811	Mar	1.02
1811	Apr	-0.88
1811	May	2.25
1811	Jun	2.10
1811	Jul	1.58
1811	Aug	1.93
1811	Sep	-0.93
1811	Oct	-0.24
1811	Nov	-0.60
1811	Dec	0.69
1812	Jan	-0.35
1812	Feb	1.78
1812	Mar	-1.94
1812	Apr	-2.98
1812	May	-2.05
1812	Jun	1.21
1812	Jul	-0.46
1812	Aug	-0.01
1812	Sep	-0.97
1812	Oct	1.95
1812	Nov	-1.46
1812	Dec	-2.77
1813	Jan	-0.58
1813	Feb	2.62
1813	Mar	0.33
1813	Apr	-0.64
1813	May	-0.24
1813	Jun	-1.50
1813	Jul	0.83
1813	Aug	0.47
1813	Sep	0.36
1813	Oct	-1.43
1813	Nov	1.09
1813	Dec	-0.61
1814	Jan	-3.55
1814	Feb	-0.61
1814	Mar	-3.05
1814	Apr	0.89
1814	May	-3.74
1814	Jun	-2.26
1814	Jul	1.75
1814	Aug	1.09
1814	Sep	-0.90
1814	Oct	-0.02
1814	Nov	1.42
1814	Dec	0.11
1815	Jan	-2.03
1815	Feb	0.72
1815	Mar	1.45
1815	Apr	-1.25
1815	May	-0.58
1815	Jun	-0.81
1815	Jul	-0.77
1815	Aug	2.53
1815	Sep	0.64
1815	Oct	0.34
1815	Nov	-0.35
1815	Dec	0.37
1816	Jan	-0.32
1816	Feb	0.18
1816	Mar	-1.26
1816	Apr	-2.26
1816	May	-2.84
1816	Jun	0.04
1816	Jul	0.66
1816	Aug	0.49
1816	Sep	0.73
1816	Oct	0.02
1816	Nov	-0.40
1816	Dec	0.97
1817	Jan	0.98
1817	Feb	2.17
1817	Mar	-0.68
1817	Apr	-1.05
1817	May	-1.49
1817	Jun	0.43
1817	Jul	1.86
1817	Aug	1.74
1817	Sep	-0.24
1817	Oct	-2.11
1817	Nov	0.77
1817	Dec	-1.26
1818	Jan	2.00
1818	Feb	1.03
1818	Mar	1.61
1818	Apr	-2.15
1818	May	-2.12
1818	Jun	1.28
1818	Jul	1.71
1818	Aug	-0.77
1818	Sep	-0.47
1818	Oct	-0.10
1818	Nov	0.25
1818	Dec	-0.42
1819	Jan	2.00
1819	Feb	0.97
1819	Mar	0.36
1819	Apr	-0.82
1819	May	-0.64
1819	Jun	2.93
1819	Jul	0.49
1819	Aug	1.91
1819	Sep	0.98
1819	Oct	-0.77
1819	Nov	-1.18
1819	Dec	-2.13
1820	Jan	-1.95
1820	Feb	-0.51
1820	Mar	-1.04
1820	Apr	-0.15
1820	May	0.86
1820	Jun	1.27
1820	Jul	-0.82
1820	Aug	2.88
1820	Sep	-0.59
1820	Oct	0.68
1820	Nov	-1.40
1820	Dec	-1.44
1821	Jan	-1.89
1821	Feb	-0.83
1821	Mar	0.77
1821	Apr	0.66
1821	May	-0.43
1821	Jun	-6.64
1821	Jul	-1.13
1821	Aug	-1.30
1821	Sep	0.80
1821	Oct	0.52
1821	Nov	-0.25
1821	Dec	1.27
1822	Jan	0.42
1822	Feb	1.69
1822	Mar	2.83
1822	Apr	-2.29
1822	May	0.15
1822	Jun	-2.62
1822	Jul	-2.34
1822	Aug	0.18
1822	Sep	-0.85
1822	Oct	-0.58
1822	Nov	0.74
1822	Dec	-0.53
1823	Jan	-2.00
1823	Feb	0.83
1823	Mar	1.22
1823	Apr	-2.34
1823	May	0.92
1823	Jun	-0.09
1823	Jul	0.69
1823	Aug	1.76
1823	Sep	1.29
1823	Oct	-0.39
1823	Nov	-1.11
1823	Dec	0.98
1824	Jan	0.70
1824	Feb	-0.38
1824	Mar	-1.11
1824	Apr	0.27
1824	May	-0.69
1824	Jun	-4.14
1824	Jul	-2.43
1824	Aug	-1.83
1824	Sep	1.44
1824	Oct	-1.41
1824	Nov	0.75
1824	Dec	0.58
1825	Jan	-0.24
1825	Feb	0.00
1825	Mar	0.17
1825	Apr	-1.39
1825	May	-1.33
1825	Jun	0.63
1825	Jul	-2.80
1825	Aug	0.28
1825	Sep	-1.49
1825	Oct	1.51
1825	Nov	1.74
1825	Dec	-0.76
1826	Jan	-1.90
1826	Feb	2.83
1826	Mar	-0.66
1826	Apr	1.02
1826	May	-1.52
1826	Jun	-1.21
1826	Jul	2.41
1826	Aug	2.95
1826	Sep	-1.24
1826	Oct	1.13
1826	Nov	-1.50
1826	Dec	1.07
1827	Jan	-0.76
1827	Feb	-2.49
1827	Mar	0.81
1827	Apr	0.77
1827	May	3.00
1827	Jun	2.66
1827	Jul	0.24
1827	Aug	-2.70
1827	Sep	1.26
1827	Oct	-1.73
1827	Nov	-1.88
1827	Dec	1.63
1828	Jan	-0.38
1828	Feb	0.52
1828	Mar	-0.09
1828	Apr	0.20
1828	May	-0.61
1828	Jun	0.86
1828	Jul	0.38
1828	Aug	-0.05
1828	Sep	-1.95
1828	Oct	0.37
1828	Nov	-1.22
1828	Dec	1.40
1829	Jan	-2.24
1829	Feb	-0.22
1829	Mar	-2.25
1829	Apr	-1.66
1829	May	0.47
1829	Jun	-1.64
1829	Jul	1.10
1829	Aug	-1.47
1829	Sep	0.76
1829	Oct	-0.18
1829	Nov	-1.54
1829	Dec	-1.82
1830	Jan	-1.25
1830	Feb	0.11
1830	Mar	2.25
1830	Apr	1.49
1830	May	-0.75
1830	Jun	0.64
1830	Jul	1.36
1830	Aug	0.81
1830	Sep	2.12
1830	Oct	-0.11
1830	Nov	1.62
1830	Dec	-1.22
1831	Jan	-2.08
1831	Feb	0.60
1831	Mar	0.29
1831	Apr	-1.16
1831	May	-1.17
1831	Jun	0.12
1831	Jul	1.13
1831	Aug	-0.56
1831	Sep	-0.53
1831	Oct	1.68
1831	Nov	-0.77
1831	Dec	1.00
1832	Jan	-0.60
1832	Feb	0.12
1832	Mar	2.32
1832	Apr	-1.99
1832	May	-2.37
1832	Jun	-0.78
1832	Jul	-3.44
1832	Aug	-1.29
1832	Sep	-0.03
1832	Oct	0.65
1832	Nov	0.19
1832	Dec	1.88
1833	Jan	-2.00
1833	Feb	0.64
1833	Mar	-2.49
1833	Apr	0.43
1833	May	1.11
1833	Jun	0.86
1833	Jul	-1.74
1833	Aug	-2.75
1833	Sep	0.09
1833	Oct	0.97
1833	Nov	1.72
1833	Dec	2.18
1834	Jan	0.66
1834	Feb	1.21
1834	Mar	0.78
1834	Apr	-2.54
1834	May	-0.68
1834	Jun	1.33
1834	Jul	-1.01
1834	Aug	1.28
1834	Sep	-1.36
1834	Oct	0.08
1834	Nov	-1.17
1834	Dec	-1.79
1835	Jan	-0.88
1835	Feb	1.97
1835	Mar	0.28
1835	Apr	-0.66
1835	May	-0.67
1835	Jun	0.65
1835	Jul	0.27
1835	Aug	0.61
1835	Sep	2.40
1835	Oct	0.17
1835	Nov	-0.92
1835	Dec	-2.08
1836	Jan	1.47
1836	Feb	0.30
1836	Mar	3.18
1836	Apr	1.43
1836	May	-2.58
1836	Jun	2.09
1836	Jul	1.88
1836	Aug	1.20
1836	Sep	-1.48
1836	Oct	0.41
1836	Nov	1.88
1836	Dec	-0.83
1837	Jan	-1.85
1837	Feb	2.73
1837	Mar	-2.23
1837	Apr	-1.41
1837	May	-1.29
1837	Jun	-1.21
1837	Jul	-1.64
1837	Aug	-1.54
1837	Sep	0.17
1837	Oct	1.46
1837	Nov	1.17
1837	Dec	0.54
1838	Jan	-1.37
1838	Feb	-1.10
1838	Mar	0.85
1838	Apr	-0.59
1838	May	-2.33
1838	Jun	0.64
1838	Jul	-0.11
1838	Aug	0.09
1838	Sep	1.04
1838	Oct	-0.03
1838	Nov	-0.79
1838	Dec	0.42
1839	Jan	0.82
1839	Feb	2.02
1839	Mar	-0.50
1839	Apr	-1.48
1839	May	-0.30
1839	Jun	-1.26
1839	Jul	1.39
1839	Aug	1.00
1839	Sep	2.87
1839	Oct	-0.54
1839	Nov	-0.83
1839	Dec	-0.94
1840	Jan	2.52
1840	Feb	-0.32
1840	Mar	-2.99
1840	Apr	0.25
1840	May	-1.82
1840	Jun	1.48
1840	Jul	2.61
1840	Aug	1.11
1840	Sep	2.03
1840	Oct	-1.98
1840	Nov	0.56
1840	Dec	-1.64
1841	Jan	-0.69
1841	Feb	-0.42
1841	Mar	2.01
1841	Apr	0.88
1841	May	1.95
1841	Jun	-0.48
1841	Jul	-0.29
1841	Aug	2.38
1841	Sep	-0.39
1841	Oct	-0.31
1841	Nov	0.07
1841	Dec	1.31
1842	Jan	-0.19
1842	Feb	2.91
1842	Mar	1.88
1842	Apr	-2.10
1842	May	1.89
1842	Jun	0.13
1842	Jul	-0.74
1842	Aug	3.37
1842	Sep	-1.73
1842	Oct	-1.23
1842	Nov	-1.43
1842	Dec	1.25
1843	Jan	2.97
1843	Feb	-3.10
1843	Mar	-1.13
1843	Apr	0.35
1843	May	-2.39
1843	Jun	-0.65
1843	Jul	0.63
1843	Aug	2.49
1843	Sep	-1.46
1843	Oct	-0.47
1843	Nov	1.33
1843	Dec	0.20
1844	Jan	0.65
1844	Feb	-0.46
1844	Mar	0.70
1844	Apr	1.49
1844	May	-2.58
1844	Jun	0.03
1844	Jul	-1.44
1844	Aug	1.00
1844	Sep	-0.94
1844	Oct	0.57
1844	Nov	-1.09
1844	Dec	-3.60
1845	Jan	1.29
1845	Feb	-0.47
1845	Mar	-2.08
1845	Apr	-0.18
1845	May	-0.64
1845	Jun	2.35
1845	Jul	-0.05
1845	Aug	-0.08
1845	Sep	1.61
1845	Oct	-0.02
1845	Nov	1.95
1845	Dec	1.12
1846	Jan	0.93
1846	Feb	0.58
1846	Mar	1.78
1846	Apr	-1.14
1846	May	0.80
1846	Jun	0.76
1846	Jul	3.10
1846	Aug	1.05
1846	Sep	-0.44
1846	Oct	2.18
1846	Nov	0.48
1846	Dec	-1.78
1847	Jan	-0.09
1847	Feb	-0.12
1847	Mar	-0.50
1847	Apr	-0.19
1847	May	1.18
1847	Jun	1.19
1847	Jul	-0.22
1847	Aug	0.56
1847	Sep	1.26
1847	Oct	0.02
1847	Nov	2.91
1847	Dec	0.89
1848	Jan	-0.50
1848	Feb	2.65
1848	Mar	1.77
1848	Apr	-0.69
1848	May	1.15
1848	Jun	0.68
1848	Jul	0.92
1848	Aug	2.11
1848	Sep	-0.36
1848	Oct	-2.08
1848	Nov	-0.82
1848	Dec	0.29
1849	Jan	0.55
1849	Feb	1.07
1849	Mar	-0.24
1849	Apr	-0.26
1849	May	-0.05
1849	Jun	-0.69
1849	Jul	0.68
1849	Aug	0.27
1849	Sep	-1.44
1849	Oct	-0.53
1849	Nov	1.21
1849	Dec	-1.64
1850	Jan	-1.62
1850	Feb	2.65
1850	Mar	-2.38
1850	Apr	1.35
1850	May	0.67
1850	Jun	2.22
1850	Jul	-1.02
1850	Aug	2.17
1850	Sep	-1.68
1850	Oct	-1.28
1850	Nov	1.31
1850	Dec	0.25
1851	Jan	2.32
1851	Feb	0.00
1851	Mar	1.06
1851	Apr	-0.35
1851	May	0.11
1851	Jun	0.72
1851	Jul	0.20
1851	Aug	-0.71
1851	Sep	-0.57
1851	Oct	1.16
1851	Nov	-1.49
1851	Dec	-0.72
1852	Jan	2.08
1852	Feb	0.66
1852	Mar	-2.60
1852	Apr	-2.56
1852	May	0.89
1852	Jun	2.14
1852	Jul	-0.98
1852	Aug	0.49
1852	Sep	-0.78
1852	Oct	-2.15
1852	Nov	-2.17
1852	Dec	2.51
1853	Jan	2.69
1853	Feb	-1.47
1853	Mar	-1.54
1853	Apr	0.88
1853	May	-1.32
1853	Jun	0.91
1853	Jul	2.32
1853	Aug	-1.40
1853	Sep	1.39
1853	Oct	1.07
1853	Nov	1.36
1853	Dec	-2.00
1854	Jan	1.25
